Column1,Column2
2289.3369,319
2292.241,335
2295.1426,316
2298.0449,320
2300.9443,310
2303.8447,315
2306.7422,334
2309.6404,296
2312.5359,335
2315.4319,323
2318.3254,331
2321.2195,319
2324.1108,328
2327.0012,325
2329.8923,338
2332.7805,353
2335.6697,332
2338.5559,317
2341.4429,309
2344.3271,323
2347.2104,337
2350.0945,350
2352.9758,314
2355.856,307
2358.7371,310
2361.6152,333
2364.4924,327
2367.3687,344
2370.2456,335
2373.1199,302
2375.9929,327
2378.8669,373
2381.738,338
2384.6082,347
2387.4775,336
2390.3457,349
2393.2146,331
2396.0808,371
2398.9458,357
2401.8101,361
2404.6733,360
2407.5354,366
2410.3982,372
2413.2585,363
2416.1177,338
2418.9758,371
2421.833,363
2424.6892,374
2427.5444,412
2430.3987,426
2433.252,433
2436.104,470
2438.9553,470
2441.8054,514
2444.6548,508
2447.5029,513
2450.3503,497
2453.1965,508
2456.0417,542
2458.886,539
2461.7292,562
2464.5715,560
2467.4128,546
2470.2532,536
2473.0925,480
2475.9309,427
2478.7666,479
2481.603,433
2484.4385,445
2487.2729,466
2490.1062,422
2492.9387,424
2495.7686,426
2498.5989,424
2501.4285,407
2504.2568,410
2507.0845,390
2509.9094,394
2512.7349,384
2515.5596,403
2518.3816,397
2521.2041,395
2524.0256,411
2526.8464,397
2529.6646,412
2532.4832,385
2535.3008,414
2538.116,399
2540.9319,384
2543.7449,395
2546.5588,400
2549.3716,406
2552.1819,398
2554.9929,386
2557.8013,400
2560.6101,364
2563.4165,407
2566.2236,388
2569.0281,396
2571.833,380
2574.6355,395
2577.4387,394
2580.2393,406
2583.0405,412
2585.8391,409
2588.6384,404
2591.4351,410
2594.2324,405
2597.0271,406
2599.821,412
2602.6155,447
2605.4072,454
2608.1997,428
2610.9897,403
2613.7788,425
2616.5684,463
2619.3555,448
2622.1416,465
2624.9268,481
2627.7124,474
2630.4956,540
2633.2781,525
2636.0608,527
2638.8413,537
2641.6206,577
2644.3992,598
2647.1765,611
2649.9548,657
2652.7302,768
2655.5049,774
2658.2786,877
2661.0513,900
2663.823,1017
2666.5955,1052
2669.3652,1139
2672.1343,1235
2674.9021,1328
2677.6692,1428
2680.4353,1644
2683.2004,1786
2685.9646,2020
2688.7278,2408
2691.49,2889
2694.2512,3541
2697.0117,4303
2699.771,4999
2702.5295,5812
2705.2871,6184
2708.0437,6292
2710.7993,5920
2713.554,5327
2716.3079,4581
2719.0605,3711
2721.8125,3174
2724.5635,2591
2727.3135,2159
2730.0608,1877
2732.8091,1632
2735.5562,1386
2738.3025,1283
2741.0476,1111
2743.792,1007
2746.5339,936
2749.2764,859
2752.0178,814
2754.7585,722
2757.4966,698
2760.2354,632
2762.9731,616
2765.71,581
2768.4443,505
2771.1792,510
2773.9133,490
2776.6448,473
2779.3772,483
2782.1084,444
2784.8372,455
2787.5664,448
2790.2949,424
2793.021,430
2795.7476,441
2798.4717,411
2801.1965,384
2803.9202,372
2806.6416,385
2809.3635,406
2812.083,366
2814.8032,387
2817.5208,414
2820.239,376
2822.9548,365
2825.6711,377
2828.3853,358
2831.0981,363
2833.8118,369
2836.5229,366
2839.2349,356
2841.9441,347
2844.6541,368
2847.3616,373
2850.0681,368
2852.7754,366
2855.4802,362
2858.1838,375
2860.8884,323
2863.5903,343
2866.2915,353
2868.9917,352
2871.6924,353
2874.3906,332
2877.0881,349
2879.7847,367
2882.4817,344
2885.1763,366
2887.8701,336
2890.563,343
2893.2549,313
2895.9475,335
2898.6375,378
2901.3267,346
2904.0151,331
2906.7024,339
2909.3889,356
2912.0745,309
2914.759,323
2917.4429,337
2920.1272,344
2922.8091,335
2925.4902,339
2928.1702,366
2930.8494,329
2933.5278,303
2936.2051,339
2938.8816,313
2941.5574,336
2944.2319,337
2946.9043,339
2949.5771,329
2952.249,341
2954.9202,326
2957.5903,324
2960.2598,367
2962.928,346
2965.5955,329
2968.2622,340
2970.9263,346
2973.5911,307
2976.2549,315
2978.918,337
2981.5801,336
2984.2397,313
2986.9001,332
2989.5596,329
2992.218,302
2994.874,282
2997.5308,331
3000.1868,301
3002.8401,297
3005.4941,328
3008.1475,308
3010.7981,314
3013.4495,327
3016.1001,312
3018.748,321
3021.3967,298
3024.0447,320
3026.6899,295
3029.3362,319
3031.9797,319
3034.624,311
3037.2659,297
3039.9084,289
3042.5483,304
3045.1892,305
3047.8274,304
3050.4666,306
3053.103,331
3055.7402,320
3058.375,298
3061.0105,305
3063.6436,310
3066.2756,347
3068.9084,285
3071.5388,322
3074.1699,295
3076.7983,296
3079.4263,270
3082.0544,328
3084.6807,306
3087.3057,296
3089.9314,307
3092.5547,285
3095.1772,290
3097.7988,317
3100.4211,287
3103.041,314
3105.6599,287
3108.2781,299
3110.8953,312
3113.5132,308
3116.1287,295
3118.7432,310
3121.3569,294
3123.97,304
3126.5818,309
3129.1931,269
3131.8047,282
3134.4141,321
3137.0227,306
3139.6304,293
3142.2371,298
3144.843,312
3147.448,307
3150.0522,324
3152.6555,324
3155.2581,326
3157.8596,344
3160.4602,306
3163.0601,338
3165.6592,341
3168.2573,372
3170.8545,335
3173.4495,351
3176.0449,331
3178.6396,340
3181.2334,358
3183.8264,343
3186.4185,363
3189.0098,399
3191.5986,361
3194.1882,357
3196.7769,370
3199.3645,352
3201.9514,333
3204.5361,347
3207.1213,359
3209.7056,356
3212.2891,364
3214.8704,344
3217.4521,346
3220.033,347
3222.6116,320
3225.1909,350
3227.7693,348
3230.3452,372
3232.9219,382
3235.4963,432
3238.0713,432
3240.6453,485
3243.217,471
3245.7896,532
3248.3596,583
3250.9304,675
3253.4988,649
3256.0676,652
3258.6343,640
3261.2017,515
3263.7666,457
3266.3323,396
3268.8955,375
3271.4595,346
3274.021,326
3276.5818,342
3279.1433,291
3281.7024,296
3284.262,291
3286.8193,301
3289.376,299
3291.9331,305
3294.4878,293
3297.042,306
3299.595,312
3302.1489,318
3304.7002,294
3307.251,277
3309.8022,269
3312.3511,280
3314.8994,290
3317.4465,252
3319.9929,301
3322.54,269
3325.085,273
3327.6289,299
3330.1719,283
3332.7141,278
3335.2556,269
3337.7961,259
3340.3359,272
3342.8762,279
3345.4143,264
3347.9517,257
3350.488,269
3353.0237,265
3355.5583,267
3358.0923,278
3360.6255,266
3363.1577,292
3365.6892,276
3368.2197,283
3370.7495,272
3373.2783,250
3375.8049,279
3378.3323,279
3380.8589,265
3383.3845,263
3385.9092,253
3388.4331,251
3390.9563,270
3393.4773,290
3395.9988,246
3398.5193,247
3401.0391,287
3403.5581,274
3406.075,284
3408.5923,293
3411.1089,283
3413.6245,272
3416.1379,266
3418.6521,265
3421.1653,268
3423.6763,306
3426.188,282
3428.6987,304
3431.2073,310
3433.7166,285
3436.2249,285
3438.731,287
3441.2375,291
3443.7419,270
3446.2471,275
3448.7498,289
3451.2532,283
3453.7544,284
3456.2563,248
3458.7559,270
3461.2559,265
3463.7539,277
3466.2524,274
3468.7488,274
3471.2456,275
3473.7402,263
3476.2341,263
3478.7285,255
3481.2207,280
3483.7136,251
3486.2041,260
3488.6941,258
3491.1843,274
3493.6726,264
3496.1599,263
3498.6465,274
3501.1338,274
3503.6187,280
3506.1028,267
3508.5862,264
3511.0701,245
3513.5518,272
3516.0327,273
3518.5127,263
3520.9919,292
3523.4719,273
3525.9497,273
3528.4265,267
3530.9026,279
3533.3779,263
3535.8523,265
3538.3259,269
3540.7988,256
3543.271,275
3545.7422,280
3548.2126,260
3550.6824,267
3553.1511,270
3555.6191,267
3558.0864,268
3560.553,260
3563.0186,277
3565.4834,279
3567.9475,283
3570.4109,263
3572.8733,255
3575.335,254
3577.7959,302
3580.2546,305
3582.7139,269
3585.1724,250
3587.6301,276
3590.0869,263
3592.5432,244
3594.9971,280
3597.4517,301
3599.9053,257
3602.3582,247
3604.8091,280
3607.2603,281
3609.7109,239
3612.1592,230
3614.6084,279
3617.0564,272
3619.5024,248
3621.9492,258
3624.395,261
3626.8386,268
3629.283,267
3631.7249,262
3634.1677,238
3636.6082,238
3639.0493,269
3641.488,262
3643.9277,254
3646.365,267
3648.803,240
3651.2388,264
3653.6753,246
3656.1094,244
3658.5442,242
3660.9768,248
3663.4087,245
3665.8413,257
3668.2715,249
3670.7024,250
3673.1313,250
3675.5593,251
3677.9878,256
3680.4143,268
3682.8398,249
3685.2646,225
3687.6902,258
3690.1135,253
3692.5359,282
3694.9578,231
3697.3801,247
3699.8003,244
3702.2197,237
3704.6382,246
3707.0562,251
3709.4746,240
3711.8909,263
3714.3064,245
3716.7212,281
3719.1353,231
3721.5483,250
3723.9609,260
3726.3726,258
3728.7834,263
3731.1936,247
3733.603,260
3736.0115,235
3738.4194,250
3740.8264,253
3743.2327,235
3745.6382,249
3748.043,244
3750.447,253
3752.8501,237
3755.2527,234
3757.6543,271
3760.0537,257
3762.4539,265
3764.8533,238
3767.252,249
3769.6497,277
3772.0469,221
3774.4417,281
3776.8372,234
3779.2319,256
3781.626,240
3784.0178,259
3786.4104,262
3788.8022,250
3791.1917,228
3793.582,257
3795.9714,255
3798.3586,240
3800.7466,213
3803.1338,244
3805.5188,248
3807.9045,245
3810.2881,261
3812.6721,243
3815.0542,231
3817.4368,267
3819.8171,224
3822.1982,249
3824.5771,221
3826.9568,261
3829.3342,252
3831.7124,245
3834.0884,256
3836.4648,242
3838.8394,239
3841.2144,278
3843.5874,240
3845.9595,248
3848.3323,240
3850.7029,250
3853.0728,253
3855.4434,270
3857.8118,229
3860.1794,272
3862.5464,244
3864.9138,223
3867.2793,259
3869.644,254
3872.0078,240
3874.3726,242
3876.7349,252
3879.0964,243
3881.4575,252
3883.8176,271
3886.177,242
3888.5371,251
3890.895,248
3893.2522,230
3895.6086,236
3897.9644,236
3900.3193,231
3902.6736,242
3905.0271,263
3907.3796,273
3909.7317,249
3912.083,232
3914.4333,246
