2550.348,-0.03011
2554.705,-0.02906
2557.964,-0.02511
2561.998,-0.02433
2565.575,-0.02493
2568.705,-0.02872
2573.185,-0.02474
2577.817,-0.02547
2580.796,-0.02456
2585.394,-0.02377
2588.411,-0.01956
2592.789,-0.01296
2595.723,-0.01456
2600.167,-0.01734
2603.333,-0.01438
2607.843,-0.0126
2610.949,-0.00937
2614.844,-0.01091
2618.565,-0.00437
2620.893,-0.00318
2622.621,-0.00162
2625.293,0.02471
2629.177,0.03193
2632.619,0.04416
2635.729,0.06245
2639.662,0.08288
2643.653,0.12033
2646.117,0.14087
2649.562,0.17663
2652.272,0.20367
2656.242,0.236
2658.726,0.26166
2662.237,0.2832
2665.769,0.30038
2669.293,0.3365
2671.326,0.3728
2673.786,0.41402
2675.695,0.47411
2677.062,0.51884
2678.858,0.58503
2680.546,0.63885
2681.716,0.69594
2683.159,0.75124
2684.574,0.80686
2686.548,0.87276
2688.035,0.91296
2690.174,0.94571
2692.498,0.96702
2695.452,0.95039
2698.737,0.97324
2701.46,1.00974
2704.182,1.04471
2706.786,1.05844
2707.956,1.03875
2710.942,0.99934
2713.353,0.96177
2715.447,0.90837
2717.208,0.86547
2719.669,0.82043
2721.367,0.76919
2723.017,0.72336
2724.908,0.66325
2726.536,0.60656
2727.839,0.5573
2729.309,0.50947
2731.069,0.44653
2732.538,0.38963
2734.305,0.34059
2736.356,0.28347
2738.464,0.2443
2741.155,0.19857
2742.747,0.16218
2743.547,0.15768
2745.867,0.12127
2748.539,0.10919
2752.729,0.08197
2756.626,0.05019
2761.601,0.03968
2767.044,0.01856
2770.579,0.0065
2775.263,-0.00705
2778.99,-0.00533
2782.745,-0.00383
2786.595,-0.00996
2790.504,-0.01124
2794.206,-0.00978
2797.98,-0.01409
2801.811,-0.01441
2805.076,-0.01392
2809.422,-0.01423
2812.657,-0.00767
2816.723,-0.01887
2819.928,-0.02267
2824.333,-0.01869
2826.08,-0.00886
2831.944,-0.01851
2834.89,-0.01927
2839.554,-0.01832
2843.325,-0.02211
2847.165,-0.01814
