671.59601	11415
675.10547	11519
678.61353	11475
682.1203	11402
685.62567	11632
689.12964	11505
692.63232	11531
696.13165	11470
699.63159	11499
703.13019	11627
706.62744	11539
710.12329	11728
713.61584	11636
717.10907	11794
720.60089	11713
724.09137	11621
727.57855	11592
731.06635	11671
734.5528	11848
738.03589	11803
741.51965	11726
745.00208	11828
748.48315	11978
751.96094	11889
755.43933	12183
758.91638	12037
762.39008	12075
765.8645	12102
769.33752	12152
772.80725	12279
776.27759	12105
779.74463	12205
783.21234	12353
786.67865	12322
790.14172	12323
793.60541	12377
797.0658	12299
800.52679	12536
803.98651	12539
807.44287	12505
810.89996	12579
814.3537	12511
817.80804	12553
821.25916	12640
824.71088	12646
828.1593	12633
831.6084	12411
835.05414	12509
838.50061	12565
841.94373	12716
845.38751	12699
848.828	12775
852.26721	12498
855.70703	12901
859.14355	12812
862.58075	12696
866.01471	12748
869.44922	12774
872.88055	12754
876.31049	12864
879.74109	13010
883.16846	12987
886.59448	12885
890.02118	13190
893.44458	13100
896.8667	13439
900.28943	13287
903.70892	13296
907.12714	13385
910.54596	13604
913.96149	13412
917.37579	13671
920.78876	13492
924.20233	13576
927.61273	13770
931.02179	13563
934.4295	13383
937.83789	13817
941.24304	13713
944.64691	13599
948.0495	13703
951.4527	13683
954.85266	13535
958.25134	13707
961.64868	13932
965.0448	13862
968.43958	13743
971.83307	13748
975.22717	13923
978.6181	13907
982.00775	13919
985.39606	13973
988.78308	13977
992.16888	14226
995.55334	14471
998.93652	14342
1002.3184	14514
1005.699	14864
1009.0783	14578
1012.4583	14892
1015.8351	15032
1019.2105	15117
1022.5847	15213
1025.9576	15424
1029.3292	15408
1032.6996	15484
1036.0687	15746
1039.4346	15688
1042.8011	15651
1046.1664	15975
1049.5303	15798
1052.8929	15948
1056.2544	15898
1059.6146	16033
1062.9734	15891
1066.3311	16173
1069.6874	16052
1073.0425	16264
1076.3962	16186
1079.7468	16321
1083.098	16455
1086.448	16695
1089.7968	16656
1093.1442	16943
1096.4904	16952
1099.8334	16925
1103.1771	17056
1106.5195	17320
1109.8606	17268
1113.2004	17398
1116.5372	17623
1119.8745	17863
1123.2106	18047
1126.5454	18423
1129.8771	18555
1133.2095	18664
1136.5405	18850
1139.8684	19187
1143.1969	19194
1146.5242	19419
1149.8484	19977
1153.1731	19943
1156.4967	20320
1159.817	20424
1163.1381	20372
1166.4579	20447
1169.7745	20602
1173.0918	20805
1176.4059	20922
1179.7207	21225
1183.0342	21243
1186.3446	21119
1189.6556	21514
1192.9636	21321
1196.2721	21530
1199.5775	21683
1202.8837	22158
1206.1865	21944
1209.4901	22557
1212.7925	22666
1216.0917	22933
1219.3896	22919
1222.6884	23230
1225.9839	23525
1229.28	23875
1232.573	24153
1235.8667	24512
1239.1572	25093
1242.4485	25652
1245.7366	25969
1249.0234	26085
1252.311	26808
1255.5953	27191
1258.8805	27802
1262.1624	28325
1265.4431	29036
1268.7245	29666
1272.0028	30561
1275.2798	30861
1278.5575	31453
1281.832	32377
1285.1055	33083
1288.3794	33312
1291.6504	34394
1294.92	34944
1298.1885	35710
1301.4576	36625
1304.7236	37310
1307.9885	38256
1311.2521	39000
1314.5164	39970
1317.7775	40511
1321.0375	41305
1324.2961	41753
1327.5537	42573
1330.8118	43397
1334.0669	43868
1337.3208	44160
1340.5734	44318
1343.8248	44566
1347.0751	44613
1350.3241	44157
1353.5719	44269
1356.8204	43250
1360.0658	42802
1363.3099	42244
1366.553	41630
1369.7947	41693
1373.0353	41783
1376.2747	39192
1379.5128	38734
1382.7498	37765
1385.9855	37144
1389.2201	36065
1392.4534	36006
1395.6855	35183
1398.9165	34458
1402.1462	33247
1405.3748	32984
1408.6022	32473
1411.8282	31911
1415.0532	31276
1418.277	30448
1421.4995	29978
1424.7191	29719
1427.9392	29657
1431.1582	29323
1434.376	29237
1437.5927	28666
1440.808	28646
1444.0222	28431
1447.2334	28238
1450.4452	28326
1453.6559	27984
1456.8654	28249
1460.0736	28287
1463.2806	28384
1466.4847	28224
1469.6895	28478
1472.8929	28183
1476.0953	28231
1479.2946	28354
1482.4946	28496
1485.6934	28772
1488.8892	28648
1492.0856	29048
1495.2808	29146
1498.4749	28977
1501.6659	29411
1504.8577	29599
1508.0482	29483
1511.2357	29820
1514.4238	29860
1517.609	29967
1520.7949	30152
1523.9795	30317
1527.1611	30514
1530.3435	30558
1533.5228	30817
1536.7028	31254
1539.8816	31548
1543.0574	31891
1546.2338	32007
1549.4072	32314
1552.5814	33009
1555.7524	34000
1558.9243	34230
1562.093	35116
1565.2625	35739
1568.429	36602
1571.5961	37534
1574.7603	38426
1577.925	40148
1581.0868	41041
1584.2474	42278
1587.4088	43537
1590.5671	44160
1593.7261	44981
1596.8821	45171
1600.037	45375
1603.1925	45139
1606.345	44623
1609.4963	43564
1612.6484	42150
1615.7975	40894
1618.9454	39443
1622.094	37516
1625.2396	35532
1628.384	33877
1631.5292	31934
1634.6713	30324
1637.8123	28900
1640.9521	27446
1644.0927	26376
1647.2302	25637
1650.3666	24717
1653.502	23927
1656.636	23273
1659.7708	22876
1662.9026	22357
1666.0333	21823
1669.1628	21493
1672.2913	21003
1675.4185	20775
1678.5464	20278
1681.6714	20170
1684.7952	19885
1687.9178	19611
1691.0394	19334
1694.1598	19141
1697.2791	19166
1700.3972	19077
1703.5142	18595
1706.63	18852
1709.7448	18721
1712.8584	18527
1715.9708	18304
1719.0822	18401
1722.1923	18276
1725.3014	18401
1728.4093	18353
1731.5161	18202
1734.6217	18409
1737.7262	18170
